          fvect                 uvect
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000 -5.902357608625055E-009
  0.000000000000000E+000 -6.592694473528733E-009
  0.000000000000000E+000 -3.501758026789699E-009
  0.000000000000000E+000  1.180471521725228E-007
  0.000000000000000E+000 -2.003830850523824E-020
  0.000000000000000E+000 -8.202711277736308E-008
  0.000000000000000E+000  1.180471521725093E-007
  0.000000000000000E+000  1.318538894705684E-007
  0.000000000000000E+000  2.303279959381176E-007
  0.000000000000000E+000  1.750475272759316E-019
  0.000000000000000E+000  4.091765605929440E-021
  0.000000000000000E+000  8.202711277738920E-007
  0.000000000000000E+000 -2.360943043450657E-006
  0.000000000000000E+000  1.705608433597000E-019
  0.000000000000000E+000  2.534479996841985E-019
  0.000000000000000E+000 -1.321663924921991E-019
  0.000000000000000E+000  1.587224460689951E-019
  0.000000000000000E+000 -2.303279959381213E-006
  0.000000000000000E+000 -8.838704644173252E-009
  0.000000000000000E+000 -1.420604145537319E-008
  0.000000000000000E+000 -5.655252764379419E-009
  0.000000000000000E+000  1.767740928835253E-007
  0.000000000000000E+000 -3.964745491495553E-020
  0.000000000000000E+000 -1.434939215242492E-007
  0.000000000000000E+000  1.767740928834798E-007
  0.000000000000000E+000  2.841208291074538E-007
  0.000000000000000E+000  2.700986380388193E-007
  0.000000000000000E+000  1.812236836783611E-019
  0.000000000000000E+000  2.357839984894658E-020
  0.000000000000000E+000  1.434939215243078E-006
  0.000000000000000E+000 -3.535481857670652E-006
  0.000000000000000E+000  2.780213164138797E-019
  0.000000000000000E+000  3.569535203783333E-019
  0.000000000000000E+000 -2.237216840904910E-019
  0.000000000000000E+000  2.860503612586963E-019
  0.000000000000000E+000 -2.700986380388244E-006
  0.000000000000000E+000 -1.038568024459628E-008
  0.000000000000000E+000 -2.203077528490231E-008
  0.000000000000000E+000 -9.113644684320367E-009
  0.000000000000000E+000  2.077136048920316E-007
  0.000000000000000E+000 -4.805164020766747E-020
  0.000000000000000E+000 -1.836910164834934E-007
  0.000000000000000E+000  2.077136048919468E-007
  0.000000000000000E+000  4.406155056980382E-007
  0.000000000000000E+000  2.701229642810504E-007
  0.000000000000000E+000  1.786777078934876E-019
  0.000000000000000E+000 -7.938879459697091E-021
  0.000000000000000E+000  1.836910164835892E-006
  0.000000000000000E+000 -4.154272097840754E-006
  0.000000000000000E+000  2.729585179011616E-019
  0.000000000000000E+000  3.541128874810913E-019
  0.000000000000000E+000 -2.416644049860887E-019
  0.000000000000000E+000  2.879303776723234E-019
  0.000000000000000E+000 -2.701229642810537E-006
  0.000000000000000E+000 -1.176766477922696E-008
  0.000000000000000E+000 -4.054500087480640E-008
  0.000000000000000E+000 -2.434195856707501E-008
  0.000000000000000E+000  2.353532955847696E-007
  0.000000000000000E+000 -5.583720838630240E-020
  0.000000000000000E+000 -2.269137812882861E-007
  0.000000000000000E+000  2.353532955845790E-007
  0.000000000000000E+000  8.109000174961220E-007
  0.000000000000000E+000  2.545588828668067E-007
  0.000000000000000E+000  1.471645083131291E-019
  0.000000000000000E+000 -9.039738189288165E-020
  0.000000000000000E+000  2.269137812884709E-006
  0.000000000000000E+000 -4.707065911695461E-006
  0.000000000000000E+000  7.102296164266148E-020
  0.000000000000000E+000  3.612603256619396E-019
  0.000000000000000E+000 -1.672168451411677E-019
  0.000000000000000E+000  2.921610342789985E-019
  0.000000000000000E+000 -2.545588828668103E-006
  0.000000000000000E+000 -1.193420362086245E-008
  0.000000000000000E+000 -5.875554838525540E-008
  0.000000000000000E+000 -4.923213631782715E-008
  0.000000000000000E+000  2.386840724176054E-007
  0.000000000000000E+000 -3.686044139128972E-020
  0.000000000000000E+000 -2.360196324467243E-007
  0.000000000000000E+000  2.386840724173302E-007
  0.000000000000000E+000  1.175110967705107E-006
  0.000000000000000E+000  2.445499662711493E-007
  0.000000000000000E+000  1.718817571939024E-019
  0.000000000000000E+000 -3.597861975060266E-019
  0.000000000000000E+000  2.360196324470009E-006
  0.000000000000000E+000 -4.773681448352240E-006
  0.000000000000000E+000 -2.730711944331152E-019
  0.000000000000000E+000  3.900886862527175E-019
  0.000000000000000E+000 -2.204808912798552E-019
  0.000000000000000E+000  1.476682761460770E-019
  0.000000000000000E+000 -2.445499662711542E-006
  0.000000000000000E+000 -1.175781615851074E-008
  0.000000000000000E+000 -7.652349466165074E-008
  0.000000000000000E+000 -8.315902039663542E-008
  0.000000000000000E+000  2.351563231707027E-007
  0.000000000000000E+000 -3.128610263285371E-020
  0.000000000000000E+000 -2.343076372825485E-007
  0.000000000000000E+000  2.351563231703477E-007
  0.000000000000000E+000  1.530469893233005E-006
  0.000000000000000E+000  2.368543799148337E-007
  0.000000000000000E+000  2.682172953079829E-019
  0.000000000000000E+000 -6.298226518738306E-019
  0.000000000000000E+000  2.343076372829140E-006
  0.000000000000000E+000 -4.703126463414261E-006
  0.000000000000000E+000 -4.230245409302203E-019
  0.000000000000000E+000  5.435156303729131E-019
  0.000000000000000E+000 -2.967536942053799E-019
  0.000000000000000E+000  2.753881766416757E-019
  0.000000000000000E+000 -2.368543799148481E-006
  0.000000000000000E+000 -1.132669799921649E-008
  0.000000000000000E+000 -1.021871069389260E-007
  0.000000000000000E+000 -1.498657069172479E-007
  0.000000000000000E+000  2.265339599850707E-007
  0.000000000000000E+000 -1.618353141609210E-019
  0.000000000000000E+000 -2.264146404546540E-007
  0.000000000000000E+000  2.265339599845610E-007
  0.000000000000000E+000  2.043742138778572E-006
  0.000000000000000E+000  2.267893155282751E-007
  0.000000000000000E+000  2.079590238457471E-019
  0.000000000000000E+000  2.664163245634083E-020
  0.000000000000000E+000  2.264146404551605E-006
  0.000000000000000E+000 -4.530679199701454E-006
  0.000000000000000E+000 -2.851596121160121E-019
  0.000000000000000E+000  5.870613998678778E-019
  0.000000000000000E+000 -2.455123410673178E-019
  0.000000000000000E+000  7.877208013422140E-020
  0.000000000000000E+000 -2.267893155282910E-006
  0.000000000000000E+000 -1.085174465619084E-008
  0.000000000000000E+000 -1.267860828882505E-007
  0.000000000000000E+000 -2.349921697667521E-007
  0.000000000000000E+000  2.170348931248478E-007
  0.000000000000000E+000 -2.288032447847126E-019
  0.000000000000000E+000 -2.170119687678329E-007
  0.000000000000000E+000  2.170348931242026E-007
  0.000000000000000E+000  2.535721657765080E-006
  0.000000000000000E+000  2.170834958891413E-007
  0.000000000000000E+000  2.528275653929089E-019
  0.000000000000000E+000  1.018439612767675E-019
  0.000000000000000E+000  2.170119687684947E-006
  0.000000000000000E+000 -4.340697862497279E-006
  0.000000000000000E+000 -1.743271785644557E-019
  0.000000000000000E+000  4.114851078843018E-019
  0.000000000000000E+000 -1.939027476668756E-019
  0.000000000000000E+000  1.578046010122460E-019
  0.000000000000000E+000 -2.170834958891399E-006
  0.000000000000000E+000 -1.037042100437669E-008
  0.000000000000000E+000 -1.503149613462727E-007
  0.000000000000000E+000 -3.377299293445738E-007
  0.000000000000000E+000  2.074084200889019E-007
  0.000000000000000E+000 -2.332455764813473E-019
  0.000000000000000E+000 -2.074131645096114E-007
  0.000000000000000E+000  2.074084200881023E-007
  0.000000000000000E+000  3.006299226925479E-006
  0.000000000000000E+000  2.074007108833745E-007
  0.000000000000000E+000  1.776816217109377E-019
  0.000000000000000E+000 -4.377177722951782E-019
  0.000000000000000E+000  2.074131645104208E-006
  0.000000000000000E+000 -4.148168401778270E-006
  0.000000000000000E+000  1.895520720425395E-020
  0.000000000000000E+000  3.798823109323740E-019
  0.000000000000000E+000 -1.592795143226464E-019
  0.000000000000000E+000  7.996481322276666E-019
  0.000000000000000E+000 -2.074007108833710E-006
  0.000000000000000E+000 -9.772189569981773E-009
  0.000000000000000E+000 -1.779758419185266E-007
  0.000000000000000E+000 -4.882347302128197E-007
  0.000000000000000E+000  1.954437914014499E-007
  0.000000000000000E+000 -2.755892136996024E-019
  0.000000000000000E+000 -1.954436980409023E-007
  0.000000000000000E+000  1.954437914004831E-007
  0.000000000000000E+000  3.559516838370592E-006
  0.000000000000000E+000  1.954440422684620E-007
  0.000000000000000E+000  3.356816775500894E-019
  0.000000000000000E+000 -5.922357592774217E-019
  0.000000000000000E+000  1.954436980418882E-006
  0.000000000000000E+000 -3.908875828029363E-006
  0.000000000000000E+000 -1.913925315230457E-019
  0.000000000000000E+000  3.928636449571896E-019
  0.000000000000000E+000 -2.115914847327309E-019
  0.000000000000000E+000  6.677664616430832E-019
  0.000000000000000E+000 -1.954440422684692E-006
  0.000000000000000E+000 -9.173990300731795E-009
  0.000000000000000E+000 -2.039938310131190E-007
  0.000000000000000E+000 -6.630652436615292E-007
  0.000000000000000E+000  1.834798060169705E-007
  0.000000000000000E+000 -4.051495276711996E-019
  0.000000000000000E+000 -1.834798730591705E-007
  0.000000000000000E+000  1.834798060158415E-007
  0.000000000000000E+000  4.079876620262520E-006
  0.000000000000000E+000  1.834796624430166E-007
  0.000000000000000E+000  3.397427215725158E-019
