 uz at along y at bottom, mid and top
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
 -5.552435846223123E-009  2.057640522303590E-010 -5.552435846222225E-009
 -9.242600802484184E-009 -2.490134851512940E-009 -9.242600802482922E-009
 -1.370592009640531E-008 -6.952845989378244E-009 -1.370592009640387E-008
 -3.001480309927754E-008 -2.365083102760656E-008 -3.001480309927609E-008
 -5.513262712898833E-008 -4.901887797220874E-008 -5.513262712898687E-008
 -8.901671132868999E-008 -8.309535183081815E-008 -8.901671132868871E-008
 -1.555260729286016E-007 -1.498563400403937E-007 -1.555260729286003E-007
 -2.404174689859314E-007 -2.349903815887017E-007 -2.404174689859292E-007
 -3.429152584572938E-007 -3.377302406852084E-007 -3.429152584572916E-007
 -4.931208226638176E-007 -4.882347216071054E-007 -4.931208226638164E-007
 -6.676522404879797E-007 -6.630652489269030E-007 -6.676522404879784E-007
 -8.650205417432122E-007 -8.607326353521643E-007 -8.650205417432118E-007
 -1.106952175017659E-006 -1.102993576902726E-006 -1.106952175017659E-006
 -1.372773567270022E-006 -1.369144267727035E-006 -1.372773567270021E-006
 -1.660497421577735E-006 -1.657197422457495E-006 -1.660497421577734E-006
 -1.968136446082563E-006 -1.965165745552708E-006 -1.968136446082563E-006
 -2.293703353868831E-006 -2.291061952815923E-006 -2.293703353868830E-006
 -2.635210855607909E-006 -2.632898754327932E-006 -2.635210855607908E-006
 -2.957539701127477E-006 -2.955526695119531E-006 -2.957539701127475E-006
 -3.289890520676883E-006 -3.288176610433707E-006 -3.289890520676883E-006
 -3.630774234629003E-006 -3.629359417758911E-006 -3.630774234629005E-006
 -3.911176131082746E-006 -3.910002783523075E-006 -3.911176131082740E-006
 -4.195385222632665E-006 -4.194453359868869E-006 -4.195385222632660E-006
 -4.482618236180103E-006 -4.481928010897877E-006 -4.482618236180105E-006
 -4.676242633182863E-006 -4.675714739164825E-006 -4.676242633182852E-006
 -4.870637626932756E-006 -4.870273206692445E-006 -4.870637626932743E-006
 -5.065571338996621E-006 -5.065374507525142E-006 -5.065571338996618E-006
 -5.148238445128914E-006 -5.148113525807709E-006 -5.148238445128921E-006
 -5.230950173063594E-006 -5.230892599435311E-006 -5.230950173063622E-006
 -5.313709047251352E-006 -5.313688761829675E-006 -5.313709047251404E-006
 through-thickness sigyy and tauyz (at 50% of the beam length from left end)
  -29999.9993832543       -813.908837678037     
  -29499.9993955336       -820.060193248004     
  -28999.9994018128       -826.108164762732     
  -28499.9994140920       -832.052752077896     
  -27999.9994263713       -837.893955265992     
  -27999.9994263713       -837.893955265992     
  -27499.9994326503       -843.631774395840     
  -26999.9994449297       -849.266209328990     
  -26499.9994572089       -854.797260135504     
  -25999.9994634880       -860.224926879419     
  -25999.9994634880       -860.224926879419     
  -25499.9994757672       -865.549209431368     
  -24999.9994880463       -870.770107856060     
  -24499.9994943256       -875.887622215190     
  -23999.9995066048       -880.901752384839     
  -23999.9995066048       -880.901752384839     
  -11999.9997533049       -970.225638660683     
 -4.495910507464787E-009  -1000.00026741964     
   11999.9997532970       -970.225638661470     
   23999.9995065989       -880.901752385983     
   23999.9995065989       -880.901752385983     
   24499.9994943205       -875.887622216373     
   24999.9994880412       -870.770107857521     
   25499.9994757620       -865.549209432915     
   25999.9994634828       -860.224926881100     
   25999.9994634828       -860.224926881100     
   26499.9994572035       -854.797260137078     
   26999.9994449249       -849.266209330558     
   27499.9994326457       -843.631774397399     
   27999.9994263669       -837.893955267685     
   27999.9994263669       -837.893955267685     
   28499.9994140877       -832.052752079532     
   28999.9994018086       -826.108164764406     
   29499.9993955303       -820.060193249858     
   29999.9993832508       -813.908837679789     
